id,trip_id,route_id,direction_id,latitude,longitude,current_stop_sequence,current_status,timestamp,stop_id,vehicle_id,license_plate,geometry
557_28E,14972_20250901_75_0_16,75_0,0,38.71501922607422,-9.166000366210938,32,IN_TRANSIT_TO,2025-09-19 20:54:58,8002,557,,POINT (-9.166000366210938 38.71501922607422)
2253_760,7044_20250901_171_0_11,171_0,0,38.714630126953125,-9.204580307006836,35,IN_TRANSIT_TO,2025-09-19 20:54:48,12906,2253,80-52-ZE,POINT (-9.204580307006836 38.714630126953125)
2254_758,6770_20250901_150_0_17,150_0,0,38.71738052368164,-9.149800300598145,6,IN_TRANSIT_TO,2025-09-19 20:54:49,10605,2254,80-51-ZE,POINT (-9.149800300598145 38.71738052368164)
2250_731,19403_20240727_190_0_8,190_0,1,38.78303146362305,-9.114009857177734,3,IN_TRANSIT_TO,2024-08-10 10:41:27,12610,2250,80-41-ZE,POINT (-9.114009857177734 38.78303146362305)
612_15E,11280_20250901_76_0_21,76_0,0,38.70817184448242,-9.137029647827148,1,IN_TRANSIT_TO,2025-09-19 20:53:33,50620,612,,POINT (-9.137029647827148 38.70817184448242)
2256_760,7110_20250901_171_0_7,171_0,0,38.7122688293457,-9.211050033569336,36,IN_TRANSIT_TO,2025-09-19 20:54:34,12922,2256,80-53-ZE,POINT (-9.211050033569336 38.7122688293457)
2795_738,5575_20250901_117_0_6,117_0,0,38.724578857421875,-9.150569915771484,28,IN_TRANSIT_TO,2025-09-19 20:54:43,10104,2795,AJ-55-LI,POINT (-9.150569915771484 38.724578857421875)
2494_708,3365_20250901_100_1_17,100_1,1,38.74066925048828,-9.133480072021484,35,IN_TRANSIT_TO,2025-09-19 20:54:40,308,2494,88-BL-68,POINT (-9.133480072021484 38.74066925048828)
6033_760,7066_20250901_171_0_14,171_0,0,38.70429992675781,-9.173970222473145,17,IN_TRANSIT_TO,2025-09-19 20:54:49,4004,6033,BF-92-AZ,POINT (-9.173970222473145 38.70429992675781)
2624_744,5805_20250901_200_0_15,200_0,0,38.76852035522461,-9.098699569702148,25,IN_TRANSIT_TO,2025-09-19 20:54:56,7805,2624,72-VP-82,POINT (-9.098699569702148 38.76852035522461)
4816_751,6481_20250901_109_0_24,109_0,1,38.700870513916016,-9.227849960327148,10,IN_TRANSIT_TO,2025-09-19 20:54:38,4213,4816,34-VR-17,POINT (-9.227849960327148 38.700870513916016)
2950_26B,17520_20250901_208_0_24,208_0,1,38.78118133544922,-9.099149703979492,23,IN_TRANSIT_TO,2025-09-19 20:54:47,50340,2950,62-GQ-51,POINT (-9.099149703979492 38.78118133544922)
4641_750,6421_20250901_106_0_15,106_0,0,38.74504852294922,-9.199830055236816,26,IN_TRANSIT_TO,2025-09-19 20:54:57,2806,4641,90-JI-98,POINT (-9.199830055236816 38.74504852294922)
4646_750,6401_20250901_106_0_14,106_0,0,38.70790100097656,-9.225569725036621,36,IN_TRANSIT_TO,2025-09-19 20:54:55,18401,4646,11-JM-79,POINT (-9.225569725036621 38.70790100097656)
2669_723,4168_20250901_121_4_19,121_4,1,38.717079162597656,-9.21207046508789,28,IN_TRANSIT_TO,2025-09-19 20:54:57,1224,2669,87-XB-34,POINT (-9.21207046508789 38.717079162597656)
6048_732,5071_20250901_107_0_5,107_0,0,38.70555114746094,-9.203470230102539,36,IN_TRANSIT_TO,2025-09-19 20:54:40,13302,6048,BH-46-IR,POINT (-9.203470230102539 38.70555114746094)
2695_713,3621_20250901_122_0_19,122_0,0,38.708900451660156,-9.161849975585938,21,IN_TRANSIT_TO,2025-09-19 20:54:40,10015,2695,90-XF-50,POINT (-9.161849975585938 38.708900451660156)
6047_706,3269_20250901_147_0_6,147_0,0,38.72052001953125,-9.118330001831055,29,IN_TRANSIT_TO,2025-09-19 20:54:56,9825,6047,BH-20-IP,POINT (-9.118330001831055 38.72052001953125)
4619_750,6393_20250901_106_0_12,106_0,1,38.726051330566406,-9.208580017089844,6,IN_TRANSIT_TO,2025-09-19 20:54:49,14007,4619,22-GP-53,POINT (-9.208580017089844 38.726051330566406)
2681_714,3684_20250901_102_0_7,102_0,0,38.72377014160156,-9.229470252990723,40,IN_TRANSIT_TO,2025-09-19 20:54:47,18602,2681,93-XA-41,POINT (-9.229470252990723 38.72377014160156)
2964_774,7437_20250901_192_1_29,192_1,0,38.707000732421875,-9.158169746398926,8,IN_TRANSIT_TO,2025-09-19 20:54:37,50594,2964,30-VM-19,POINT (-9.158169746398926 38.707000732421875)
2718_723,4187_20250901_121_4_15,121_4,1,38.71739959716797,-9.207730293273926,13,IN_TRANSIT_TO,2025-09-19 20:54:51,10406,2718,92-XQ-23,POINT (-9.207730293273926 38.71739959716797)
6049_732,5089_20250901_107_0_7,107_0,1,38.70642852783203,-9.154569625854492,26,IN_TRANSIT_TO,2025-09-12 17:10:25,3901,6049,BH-47-IR,POINT (-9.154569625854492 38.70642852783203)
4634_783,7846_20250901_203_0_17,203_0,0,38.74803161621094,-9.148269653320312,11,IN_TRANSIT_TO,2025-09-19 20:54:32,2011,4634,11-JM-78,POINT (-9.148269653320312 38.74803161621094)
2763_727,4463_20250901_103_0_12,103_0,1,38.746768951416016,-9.132369995117188,49,IN_TRANSIT_TO,2025-09-19 20:54:40,7306,2763,AH-23-ND,POINT (-9.132369995117188 38.746768951416016)
2755_738,5558_20250901_117_0_6,117_0,0,38.70439910888672,-9.183019638061523,34,IN_TRANSIT_TO,2025-09-19 20:54:36,12114,2755,AG-95-TG,POINT (-9.183019638061523 38.70439910888672)
2979_799,8222_20250901_120_0_27,120_0,1,38.74462127685547,-9.198430061340332,17,IN_TRANSIT_TO,2025-09-19 20:55:00,2812,2979,30-VM-17,POINT (-9.198430061340332 38.74462127685547)
6015_760,7095_20250901_171_0_10,171_0,1,38.709720611572266,-9.135080337524414,32,IN_TRANSIT_TO,2025-09-19 20:54:40,5519,6015,69-ZF-01,POINT (-9.135080337524414 38.709720611572266)
2629_759,6970_20250901_144_0_14,144_0,1,38.708499908447266,-9.131179809570312,43,IN_TRANSIT_TO,2025-09-19 20:54:49,8202,2629,52-VP-81,POINT (-9.131179809570312 38.708499908447266)
2765_738,5553_20250901_117_0_16,117_0,1,38.728981018066406,-9.147720336914062,18,IN_TRANSIT_TO,2025-09-19 20:54:40,1701,2765,AH-37-ND,POINT (-9.147720336914062 38.728981018066406)
4633_796,8140_20250901_174_0_42,174_0,1,38.75933074951172,-9.15548038482666,16,IN_TRANSIT_TO,2025-09-19 20:54:38,5808,4633,90-JI-94,POINT (-9.15548038482666 38.75933074951172)
2430_771,21940_20250901_248_0_25,248_0,1,38.7304801940918,-9.162320137023926,20,IN_TRANSIT_TO,2025-09-19 20:54:51,6121,2430,29-AX-12,POINT (-9.162320137023926 38.7304801940918)
2779_727,4553_20250901_103_0_13,103_0,0,38.7044792175293,-9.166399955749512,26,IN_TRANSIT_TO,2025-09-19 20:54:43,10210,2779,AI-02-BT,POINT (-9.166399955749512 38.7044792175293)
2703_727,4518_20250901_103_0_6,103_0,1,38.739070892333984,-9.146149635314941,41,IN_TRANSIT_TO,2025-09-19 20:54:42,1805,2703,92-XQ-24,POINT (-9.146149635314941 38.739070892333984)
251_797,8186_20250901_163_1_2,163_1,0,38.71866989135742,-9.129850387573242,12,IN_TRANSIT_TO,2025-09-19 20:55:01,9131,251,AF-87-NU,POINT (-9.129850387573242 38.71866989135742)
4833_736,5331_20250901_199_0_15,199_0,0,38.76873016357422,-9.158650398254395,18,IN_TRANSIT_TO,2025-09-19 20:54:33,5901,4833,20-VQ-65,POINT (-9.158650398254395 38.76873016357422)
2272_760,7085_20250901_171_1_15,171_1,0,38.72616958618164,-9.140700340270996,0,IN_TRANSIT_TO,2025-09-19 20:54:59,,2272,76-80-ZG,POINT (-9.140700340270996 38.72616958618164)
2796_713,42765_20250901_122_0_6,122_0,1,38.735050201416016,-9.146949768066406,33,IN_TRANSIT_TO,2025-09-19 20:54:31,1410,2796,AJ-59-LI,POINT (-9.146949768066406 38.735050201416016)
2601_705,3190_20250901_176_0_17,176_0,1,38.75645065307617,-9.111700057983398,25,IN_TRANSIT_TO,2025-09-19 20:52:34,7825,2601,04-VA-70,POINT (-9.111700057983398 38.75645065307617)
2602_759,6928_20250901_144_0_13,144_0,0,38.73308181762695,-9.114049911499023,17,IN_TRANSIT_TO,2025-09-19 20:54:46,17569,2602,16-VF-81,POINT (-9.114049911499023 38.73308181762695)
4806_751,6523_20250901_109_0_10,109_0,1,38.6974983215332,-9.19517993927002,19,IN_TRANSIT_TO,2025-09-19 20:54:31,4109,4806,20-VQ-74,POINT (-9.19517993927002 38.6974983215332)
2716_713,3592_20250901_122_0_17,122_0,0,38.71538162231445,-9.23031997680664,34,IN_TRANSIT_TO,2025-09-19 20:48:53,8601,2716,92-XQ-27,POINT (-9.23031997680664 38.71538162231445)
4820_750,6355_20250901_106_0_4,106_0,1,38.751319885253906,-9.1879301071167,18,IN_TRANSIT_TO,2025-09-19 20:53:47,10805,4820,20-VQ-62,POINT (-9.1879301071167 38.751319885253906)
283_734,5138_20250801_205_0_6,205_0,0,38.71443176269531,-9.123080253601074,16,IN_TRANSIT_TO,2025-08-07 08:52:19,2110,283,AI-49-OJ,POINT (-9.123080253601074 38.71443176269531)
573_28E,14946_20250901_75_0_13,75_0,1,38.70964813232422,-9.152230262756348,9,IN_TRANSIT_TO,2025-09-19 20:54:02,6723,573,,POINT (-9.152230262756348 38.70964813232422)
273_734,5150_20250901_205_0_38,205_0,0,38.72241973876953,-9.135250091552734,3,IN_TRANSIT_TO,2025-09-19 20:54:30,701,273,AH-15-TB,POINT (-9.135250091552734 38.72241973876953)
2632_722,4129_20250901_196_0_15,196_0,1,38.75651931762695,-9.112279891967773,33,IN_TRANSIT_TO,2025-09-19 20:54:35,1102,2632,52-VP-88,POINT (-9.112279891967773 38.75651931762695)
548_28E,14986_20250901_75_0_16,75_0,0,38.71377944946289,-9.160900115966797,29,IN_TRANSIT_TO,2025-09-19 20:53:55,8112,548,,POINT (-9.160900115966797 38.71377944946289)
2646_755,6632_20250901_118_0_15,118_0,0,38.752201080322266,-9.113570213317871,14,IN_TRANSIT_TO,2025-09-19 20:54:55,24377,2646,75-VS-48,POINT (-9.113570213317871 38.752201080322266)
2468_729,4801_20250901_104_0_15,104_0,1,38.76074981689453,-9.195670127868652,36,IN_TRANSIT_TO,2025-09-19 20:54:40,12812,2468,16-AZ-10,POINT (-9.195670127868652 38.76074981689453)
6042_731,57523_20250901_190_0_6,190_0,0,38.76108169555664,-9.121299743652344,20,IN_TRANSIT_TO,2025-09-19 20:54:47,7509,6042,BG-97-LU,POINT (-9.121299743652344 38.76108169555664)
2635_759,6896_20250901_144_0_14,144_0,1,38.775020599365234,-9.097419738769531,4,IN_TRANSIT_TO,2025-09-19 20:54:45,7823,2635,52-VP-90,POINT (-9.097419738769531 38.775020599365234)
2799_728,36654_20250901_204_1_2,204_1,1,38.77482986450195,-9.105019569396973,6,IN_TRANSIT_TO,2025-09-19 20:54:35,7908,2799,AJ-52-LI,POINT (-9.105019569396973 38.77482986450195)
2769_728,36656_20250901_204_0_1,204_0,0,38.747779846191406,-9.096920013427734,35,IN_TRANSIT_TO,2025-09-19 20:54:43,50338,2769,AH-19-ND,POINT (-9.096920013427734 38.747779846191406)
2636_783,7865_20250901_203_0_1,203_0,1,38.733680725097656,-9.145099639892578,24,IN_TRANSIT_TO,2025-09-19 20:54:38,1812,2636,87-VS-50,POINT (-9.145099639892578 38.733680725097656)
2622_759,6949_20250901_144_0_15,144_0,0,38.708431243896484,-9.136420249938965,4,IN_TRANSIT_TO,2025-09-19 20:54:49,5501,2622,66-VI-21,POINT (-9.136420249938965 38.708431243896484)
2975_774,7467_20250901_192_1_28,192_1,1,38.706600189208984,-9.157699584960938,28,IN_TRANSIT_TO,2025-09-19 20:54:51,3915,2975,30-VM-11,POINT (-9.157699584960938 38.706600189208984)
2985_797,8161_20250901_163_0_51,163_0,1,38.731719970703125,-9.127519607543945,7,IN_TRANSIT_TO,2025-09-19 20:54:45,7003,2985,30-VM-14,POINT (-9.127519607543945 38.731719970703125)
2711_709,3411_20250901_148_0_13,148_0,0,38.71498107910156,-9.166170120239258,11,IN_TRANSIT_TO,2025-09-19 20:54:54,8002,2711,92-XQ-44,POINT (-9.166170120239258 38.71498107910156)
2976_774,7457_20250901_192_1_34,192_1,1,38.72146987915039,-9.163680076599121,10,IN_TRANSIT_TO,2025-09-19 20:54:38,8519,2976,30-VM-00,POINT (-9.163680076599121 38.72146987915039)
2604_759,6981_20250901_144_0_16,144_0,1,38.761531829833984,-9.114080429077148,17,IN_TRANSIT_TO,2025-09-19 20:54:41,8433,2604,66-VI-32,POINT (-9.114080429077148 38.761531829833984)
2980_763,49571_20250901_282_0_9,282_0,0,38.761131286621094,-9.196049690246582,20,IN_TRANSIT_TO,2025-09-19 20:51:26,12821,2980,29-VM-90,POINT (-9.196049690246582 38.761131286621094)
2663_714,3697_20240914_102_0_16,102_0,1,38.72127151489258,-9.221500396728516,4,IN_TRANSIT_TO,2024-10-22 20:26:58,18703,2663,05-VZ-62,POINT (-9.221500396728516 38.72127151489258)
576_28E,15024_20250901_75_0_16,75_0,0,38.717079162597656,-9.12975025177002,9,IN_TRANSIT_TO,2025-09-19 20:54:54,14804,576,,POINT (-9.12975025177002 38.717079162597656)
581_28E,14998_20250901_75_0_6,75_0,1,38.71126937866211,-9.152770042419434,8,IN_TRANSIT_TO,2025-09-19 12:56:16,6721,581,,POINT (-9.152770042419434 38.71126937866211)
2615_783,41470_20250901_203_0_1,203_0,1,38.769020080566406,-9.128020286560059,12,IN_TRANSIT_TO,2025-09-19 20:54:36,7602,2615,66-VI-27,POINT (-9.128020286560059 38.769020080566406)
554_28E,14908_20250901_75_0_13,75_0,1,38.701171875,-9.18097972869873,35,IN_TRANSIT_TO,2025-09-19 20:54:41,804,554,,POINT (-9.18097972869873 38.701171875)
2732_735,5271_20250901_172_1_17,172_1,0,38.70841979980469,-9.136369705200195,3,IN_TRANSIT_TO,2025-09-19 20:53:44,5501,2732,AG-39-EI,POINT (-9.136369705200195 38.70841979980469)
2995_702,3053_20250901_146_0_41,146_0,0,38.730228424072266,-9.169469833374023,8,IN_TRANSIT_TO,2025-09-19 20:54:58,6132,2995,30-VM-15,POINT (-9.169469833374023 38.730228424072266)
505_15E,11446_20250901_76_0_3,76_0,0,38.69953155517578,-9.225850105285645,21,IN_TRANSIT_TO,2025-09-19 20:54:59,4208,505,,POINT (-9.225850105285645 38.69953155517578)
2687_738,5512_20250901_117_0_17,117_0,0,38.74591827392578,-9.147899627685547,14,IN_TRANSIT_TO,2025-09-19 20:54:54,2004,2687,93-XA-44,POINT (-9.147899627685547 38.74591827392578)
4813_751,6517_20250901_109_0_15,109_0,0,38.69974899291992,-9.184430122375488,11,IN_TRANSIT_TO,2025-09-19 20:54:56,9504,4813,68-VQ-50,POINT (-9.184430122375488 38.69974899291992)
502_15E,11329_20250901_76_0_8,76_0,1,38.70532989501953,-9.157770156860352,17,IN_TRANSIT_TO,2025-09-19 20:54:52,3905,502,,POINT (-9.157770156860352 38.70532989501953)
572_28E,14920_20250901_75_0_17,75_0,1,38.709800720214844,-9.13634967803955,18,IN_TRANSIT_TO,2025-09-19 20:54:31,50149,572,,POINT (-9.13634967803955 38.709800720214844)
4824_736,5319_20250901_199_0_17,199_0,0,38.77898025512695,-9.163430213928223,22,IN_TRANSIT_TO,2025-09-19 20:54:33,5911,4824,34-VR-19,POINT (-9.163430213928223 38.77898025512695)
2641_705,3186_20250901_176_0_20,176_0,1,38.75642013549805,-9.11217975616455,25,IN_TRANSIT_TO,2025-09-19 20:46:19,7825,2641,75-VS-49,POINT (-9.11217975616455 38.75642013549805)
2782_746,6050_20250901_108_0_2,108_0,0,38.74457931518555,-9.179229736328125,12,IN_TRANSIT_TO,2025-09-19 20:54:56,10706,2782,AI-99-BS,POINT (-9.179229736328125 38.74457931518555)
2645_718,3994_20250901_105_0_21,105_0,1,38.72782897949219,-9.109979629516602,16,IN_TRANSIT_TO,2025-09-19 20:54:26,8303,2645,87-VS-49,POINT (-9.109979629516602 38.72782897949219)
4635_783,7835_20250901_203_0_17,203_0,0,38.768150329589844,-9.127730369567871,20,IN_TRANSIT_TO,2025-09-19 20:54:55,7603,4635,90-JI-95,POINT (-9.127730369567871 38.768150329589844)
2725_711,3512_20250901_101_0_15,101_0,0,38.72492980957031,-9.156169891357422,8,IN_TRANSIT_TO,2025-09-19 20:54:37,1223,2725,92-XQ-30,POINT (-9.156169891357422 38.72492980957031)
2735_735,5263_20250901_172_0_17,172_0,0,38.742530822753906,-9.133199691772461,21,IN_TRANSIT_TO,2025-09-19 20:54:56,411,2735,AG-37-EI,POINT (-9.133199691772461 38.742530822753906)
2316_708,3311_20250901_100_0_16,100_0,0,38.78873062133789,-9.099029541015625,36,IN_TRANSIT_TO,2025-09-19 20:54:31,50300,2316,61-87-ZB,POINT (-9.099029541015625 38.78873062133789)
2428_747,6122_20250901_177_0_27,177_0,0,38.7670783996582,-9.165149688720703,5,IN_TRANSIT_TO,2025-09-19 20:54:21,5815,2428,29-AX-13,POINT (-9.165149688720703 38.7670783996582)
2310_708,3276_20250901_100_1_17,100_1,1,38.7806282043457,-9.09646987915039,10,IN_TRANSIT_TO,2025-09-19 20:54:53,50127,2310,83-07-ZM,POINT (-9.09646987915039 38.7806282043457)
2489_726,4350_20250901_116_0_16,116_0,1,38.73514938354492,-9.145919799804688,25,IN_TRANSIT_TO,2025-09-19 20:54:54,1806,2489,55-BH-05,POINT (-9.145919799804688 38.73514938354492)
2402_767,7297_20250901_112_0_13,112_0,0,38.756568908691406,-9.203080177307129,37,IN_TRANSIT_TO,2025-09-19 20:54:46,13704,2402,50-AL-13,POINT (-9.203080177307129 38.756568908691406)
2443_703,3162_20250901_165_0_19,165_0,1,38.74769973754883,-9.206999778747559,0,IN_TRANSIT_TO,2025-09-19 20:54:26,,2443,29-AX-05,POINT (-9.206999778747559 38.74769973754883)
2780_712,3565_20250901_189_2_19,189_2,0,38.718101501464844,-9.12714958190918,5,IN_TRANSIT_TO,2025-09-19 20:54:55,9121,2780,AI-06-BT,POINT (-9.12714958190918 38.718101501464844)
